instance,n_cranes,method,cost,lb_mc,gap,interference,n_steps,time_s
mc_U081606_001_c3.txt,3,ZS+S2,67868.9,58920.1,15.19,0.0,458,0.0
mc_U081606_001_c3.txt,3,M-Lin2015,87493.9,58920.1,48.5,0.0,0,11.54
mc_U081606_002_c2.txt,2,ZS+S2,67363.5,59725.8,12.79,0.0,464,0.0
mc_U081606_002_c2.txt,2,M-Lin2015,84462.6,59725.8,41.42,0.0,0,11.611
mc_U081606_002_c3.txt,3,ZS+S2,66500.3,57328.2,16.0,0.0,464,0.0
mc_U081606_002_c3.txt,3,M-Lin2015,84226.4,57328.2,46.92,0.0,0,11.601
mc_U101606_001_c2.txt,2,ZS+S2,90395.7,79354.1,13.91,8.0,591,0.0
mc_U101606_001_c2.txt,2,M-Lin2015,111849.5,79354.1,40.95,0.0,0,17.553
mc_U101606_001_c3.txt,3,ZS+S2,89256.8,76324.7,16.94,10.0,591,0.0
mc_U101606_001_c3.txt,3,M-Lin2015,111849.5,76324.7,46.54,0.0,0,17.564
mc_U101606_002_c2.txt,2,ZS+S2,90556.2,80054.0,13.12,0.0,596,0.0
mc_U101606_002_c2.txt,2,M-Lin2015,112266.7,80054.0,40.24,0.0,0,17.697
mc_U101606_002_c3.txt,3,ZS+S2,89440.6,77024.6,16.12,1.0,596,0.0
mc_U101606_002_c3.txt,3,M-Lin2015,111400.2,77024.6,44.63,0.0,0,17.788
