instance,n_cranes,strategy,cost,lb_mc,gap,n_steps,interference,time_s
mc_R021606_002_c2.txt,3,S2,11529.6,10860.0,6.17,77,0.0,1.815
mc_R021606_002_c2.txt,3,S3,11616.6,10860.0,6.97,77,48.0,1.956
mc_R021606_002_c2.txt,3,S4,11529.6,10860.0,6.17,77,0.0,0.735
mc_R021606_002_c3.txt,2,S1,11614.2,10754.5,7.99,77,35.0,0.808
mc_R021606_002_c3.txt,2,S2,11529.6,10754.5,7.21,77,0.0,0.785
mc_R021606_002_c3.txt,2,S3,11614.2,10754.5,7.99,77,35.0,0.812
mc_R021606_002_c3.txt,2,S4,11529.6,10754.5,7.21,77,0.0,0.87
mc_R021606_002_c3.txt,3,S1,11616.6,10860.0,6.97,77,48.0,0.857
mc_R021606_002_c3.txt,3,S2,11573.1,10860.0,6.57,77,0.0,0.764
mc_R021606_002_c3.txt,3,S3,11616.6,10860.0,6.97,77,48.0,0.754
mc_R021606_002_c3.txt,3,S4,11529.6,10860.0,6.17,77,0.0,0.745
mc_R021606_003_c2.txt,2,S1,11846.4,11438.0,3.57,82,45.0,0.761
mc_R021606_003_c2.txt,2,S2,11742.6,11438.0,2.66,82,0.0,0.8
mc_R021606_003_c2.txt,2,S3,11846.4,11438.0,3.57,82,45.0,0.798
mc_R021606_003_c2.txt,2,S4,11742.6,11438.0,2.66,82,0.0,0.782
mc_R021606_003_c2.txt,3,S1,11846.4,11569.3,2.4,82,55.0,0.764
mc_R021606_003_c2.txt,3,S2,11742.6,11569.3,1.5,82,0.0,0.788
mc_R021606_003_c2.txt,3,S3,11846.4,11569.3,2.4,82,55.0,0.77
mc_R021606_003_c2.txt,3,S4,11742.6,11569.3,1.5,82,0.0,0.781
mc_R021606_003_c3.txt,2,S1,11846.4,11438.0,3.57,82,45.0,0.81
mc_R021606_003_c3.txt,2,S2,11742.6,11438.0,2.66,82,0.0,0.878
mc_R021606_003_c3.txt,2,S3,11846.4,11438.0,3.57,82,45.0,0.873
mc_R021606_003_c3.txt,2,S4,11742.6,11438.0,2.66,82,0.0,0.795
mc_R021606_003_c3.txt,3,S1,11846.4,11569.3,2.4,82,55.0,0.782
mc_R021606_003_c3.txt,3,S2,11786.1,11569.3,1.87,82,0.0,0.763
mc_R021606_003_c3.txt,3,S3,11846.4,11569.3,2.4,82,55.0,0.806
mc_R021606_003_c3.txt,3,S4,11742.6,11569.3,1.5,82,0.0,0.795
mc_R021606_004_c2.txt,2,S1,12688.8,11691.8,8.53,98,50.0,0.894
mc_R021606_004_c2.txt,2,S2,12688.8,11691.8,8.53,98,0.0,0.915
mc_R021606_004_c2.txt,2,S3,12688.8,11691.8,8.53,98,50.0,0.958
mc_R021606_004_c2.txt,2,S4,12688.8,11691.8,8.53,98,0.0,0.928
mc_R021606_004_c2.txt,3,S1,12688.8,11837.9,7.19,98,66.0,0.925
mc_R021606_004_c2.txt,3,S2,12688.8,11837.9,7.19,98,0.0,0.917
mc_R021606_004_c2.txt,3,S3,12688.8,11837.9,7.19,98,66.0,0.902
mc_R021606_004_c2.txt,3,S4,12688.8,11837.9,7.19,98,0.0,0.916
mc_R021606_004_c3.txt,2,S1,12688.8,11691.8,8.53,98,50.0,0.932
mc_R021606_004_c3.txt,2,S2,12688.8,11691.8,8.53,98,0.0,0.946
