instance,n_cranes,method,cost,lb_mc,gap,interference,time_s
mc_U021608_001_c2.txt,2,M-Kim2016,27838.5,16219.2,71.64,0,0.741
mc_U021608_001_c2.txt,2,M-Leveling,22920.3,16219.2,41.32,0,1.049
mc_U021608_001_c3.txt,3,M-Kim2016,28636.5,16511.5,73.43,0,0.666
mc_U021608_001_c3.txt,3,M-Leveling,22731.9,16511.5,37.67,0,1.196
mc_U021608_002_c2.txt,2,M-Kim2016,29717.4,15942.9,86.4,0,0.734
mc_U021608_002_c2.txt,2,M-Leveling,23345.1,15942.9,46.43,0,1.319
mc_U021608_002_c3.txt,3,M-Kim2016,28525.2,16235.2,75.7,0,1.033
mc_U021608_002_c3.txt,3,M-Leveling,23330.7,16235.2,43.7,0,1.384
mc_U041606_001_c2.txt,2,M-Kim2016,47984.8,27026.4,77.55,0,1.679
mc_U041606_001_c2.txt,2,M-Leveling,35051.4,27026.4,29.69,0,2.652
mc_U041606_001_c3.txt,3,M-Kim2016,48419.8,25854.6,87.28,0,1.727
mc_U041606_001_c3.txt,3,M-Leveling,35302.2,25854.6,36.54,0,2.239
mc_U041606_002_c2.txt,2,M-Kim2016,46552.1,26971.0,72.6,0,1.436
mc_U041606_002_c2.txt,2,M-Leveling,34790.2,26971.0,28.99,0,2.22
mc_U041606_002_c3.txt,3,M-Kim2016,46662.9,25804.6,80.83,0,1.379
mc_U041606_002_c3.txt,3,M-Leveling,34793.8,25804.6,34.84,0,2.12
mc_U041608_001_c2.txt,2,M-Kim2016,68210.6,37990.7,79.55,0,2.284
mc_U041608_001_c2.txt,2,M-Leveling,52180.7,37990.7,37.35,0,3.491
mc_U041608_001_c3.txt,3,M-Kim2016,69564.8,36284.3,91.72,0,2.238
mc_U041608_001_c3.txt,3,M-Leveling,52268.3,36284.3,44.05,0,3.622
mc_U041608_002_c2.txt,2,M-Kim2016,68196.6,37390.5,82.39,0,2.658
mc_U041608_002_c2.txt,2,M-Leveling,50728.5,37390.5,35.67,0,3.979
mc_U041608_002_c3.txt,3,M-Kim2016,68623.8,35684.1,92.31,0,2.649
mc_U041608_002_c3.txt,3,M-Leveling,50201.7,35684.1,40.68,0,4.001
mc_U061606_001_c2.txt,2,M-Kim2016,77021.1,43790.0,75.89,0,3.716
mc_U061606_001_c2.txt,2,M-Leveling,55782.8,43790.0,27.39,0,5.382
mc_U061606_001_c3.txt,3,M-Kim2016,77253.1,41986.4,84.0,0,3.88
mc_U061606_001_c3.txt,3,M-Leveling,55677.2,41986.4,32.61,0,5.727
mc_U061606_002_c2.txt,2,M-Kim2016,79144.5,43981.6,79.95,0,3.573
mc_U061606_002_c2.txt,2,M-Leveling,56489.2,43981.6,28.44,0,5.404
mc_U061606_002_c3.txt,3,M-Kim2016,79534.7,42178.0,88.57,0,3.451
mc_U061606_002_c3.txt,3,M-Leveling,56492.8,42178.0,33.94,0,5.429
mc_U061608_001_c2.txt,2,M-Kim2016,110539.5,58577.0,88.71,0,4.818
mc_U061608_001_c2.txt,2,M-Leveling,79667.0,58577.0,36.0,0,8.977
mc_U061608_001_c3.txt,3,M-Kim2016,111056.5,56017.4,98.25,0,5.881
mc_U061608_001_c3.txt,3,M-Leveling,79165.4,56017.4,41.32,0,9.594
mc_U061608_002_c2.txt,2,M-Kim2016,113516.4,59054.0,92.22,0,6.206
mc_U061608_002_c2.txt,2,M-Leveling,81911.6,59054.0,38.71,0,10.544
mc_U061608_002_c3.txt,3,M-Kim2016,113870.2,56494.4,101.56,0,6.542
mc_U061608_002_c3.txt,3,M-Leveling,81946.4,56494.4,45.05,0,10.7
mc_U081606_001_c2.txt,2,M-Kim2016,111069.6,61312.3,81.15,0,6.723
mc_U081606_001_c2.txt,2,M-Leveling,76935.7,61312.3,25.48,0,11.19
mc_U081606_001_c3.txt,3,M-Kim2016,111064.8,58920.1,88.5,0,6.459
mc_U081606_001_c3.txt,3,M-Leveling,77024.5,58920.1,30.73,0,11.617
mc_U081606_002_c2.txt,2,M-Kim2016,106176.7,59725.8,77.77,0,7.215
mc_U081606_002_c2.txt,2,M-Leveling,74559.0,59725.8,24.84,0,10.968
mc_U081606_002_c3.txt,3,M-Kim2016,106153.1,57328.2,85.17,0,8.973
mc_U081606_002_c3.txt,3,M-Leveling,74106.6,57328.2,29.27,0,8.887
mc_U101606_001_c2.txt,2,M-Kim2016,145100.2,79354.1,82.85,0,9.113
mc_U101606_001_c2.txt,2,M-Leveling,100769.8,79354.1,26.99,0,29.968
mc_U101606_001_c3.txt,3,M-Kim2016,144984.0,76324.7,89.96,0,13.031
mc_U101606_001_c3.txt,3,M-Leveling,100676.2,76324.7,31.91,0,16.024
mc_U101606_002_c2.txt,2,M-Kim2016,142508.3,80054.0,78.02,0,10.635
mc_U101606_002_c2.txt,2,M-Leveling,100723.4,80054.0,25.82,0,18.569
mc_U101606_002_c3.txt,3,M-Kim2016,140844.3,77024.6,82.86,0,12.314
mc_U101606_002_c3.txt,3,M-Leveling,100195.4,77024.6,30.08,0,21.505
