dataset,instance,method,cost,lb,gap,time_s
Lee_random,R041606_0280_002.txt,Durasevic2025,42387.9,28005.7,51.35,3.426
Lee_random,R041606_0280_002.txt,NearestStack,49075.7,28005.7,75.23,1.597
Lee_random,R041606_0280_002.txt,LowestHeight,48019.7,28005.7,71.46,1.313
Lee_random,R041606_0280_003.txt,OriginalModel,29502.8,28164.8,4.75,4.515
Lee_random,R041606_0280_003.txt,ZeroShot,29086.4,28164.8,3.27,4.717
Lee_random,R041606_0280_003.txt,Lin2015,33396.2,28164.8,18.57,2.978
Lee_random,R041606_0280_003.txt,Kim2016,38711.3,28164.8,37.45,2.761
Lee_random,R041606_0280_003.txt,Leveling,32903.6,28164.8,16.83,5.012
Lee_random,R041606_0280_003.txt,Durasevic2025,41439.4,28164.8,47.13,1.432
Lee_random,R041606_0280_003.txt,NearestStack,44797.0,28164.8,59.05,0.487
Lee_random,R041606_0280_003.txt,LowestHeight,46361.6,28164.8,64.61,0.401
Lee_random,R041606_0280_004.txt,OriginalModel,29638.0,28063.6,5.61,3.006
Lee_random,R041606_0280_004.txt,ZeroShot,29479.3,28063.6,5.04,3.98
Lee_random,R041606_0280_004.txt,Lin2015,34146.4,28063.6,21.68,1.93
Lee_random,R041606_0280_004.txt,Kim2016,40127.7,28063.6,42.99,1.604
Lee_random,R041606_0280_004.txt,Leveling,33634.0,28063.6,19.85,2.882
Lee_random,R041606_0280_004.txt,Durasevic2025,42079.1,28063.6,49.94,1.807
Lee_random,R041606_0280_004.txt,NearestStack,49333.0,28063.6,75.79,0.854
Lee_random,R041606_0280_004.txt,LowestHeight,47775.6,28063.6,70.24,0.697
Lee_random,R041606_0280_005.txt,OriginalModel,30020.2,28696.6,4.61,2.908
Lee_random,R041606_0280_005.txt,ZeroShot,29845.6,28696.6,4.0,2.959
Lee_random,R041606_0280_005.txt,Lin2015,34198.4,28696.6,19.17,1.701
Lee_random,R041606_0280_005.txt,Kim2016,40607.1,28696.6,41.5,1.406
Lee_random,R041606_0280_005.txt,Leveling,33283.0,28696.6,15.98,2.74
Lee_random,R041606_0280_005.txt,Durasevic2025,42915.4,28696.6,49.55,2.098
Lee_random,R041606_0280_005.txt,NearestStack,52918.3,28696.6,84.41,2.162
Lee_random,R041606_0280_005.txt,LowestHeight,49654.3,28696.6,73.03,1.123
Lee_random,R041608_0380_001.txt,OriginalModel,43565.0,39623.0,9.95,17.612
Lee_random,R041608_0380_001.txt,ZeroShot,43001.1,39623.0,8.53,12.968
Lee_random,R041608_0380_001.txt,Lin2015,51537.4,39623.0,30.07,5.786
Lee_random,R041608_0380_001.txt,Kim2016,62090.8,39623.0,56.7,6.8
Lee_random,R041608_0380_001.txt,Leveling,52347.8,39623.0,32.11,11.922
Lee_random,R041608_0380_001.txt,Durasevic2025,61626.7,39623.0,55.53,6.879
Lee_random,R041608_0380_001.txt,NearestStack,78914.1,39623.0,99.16,3.52
Lee_random,R041608_0380_001.txt,LowestHeight,81440.7,39623.0,105.54,2.434
Lee_random,R041608_0380_002.txt,OriginalModel,43713.8,39272.6,11.31,13.469
Lee_random,R041608_0380_002.txt,ZeroShot,43747.7,39272.6,11.39,19.217
Lee_random,R041608_0380_002.txt,Lin2015,53712.1,39272.6,36.77,12.739
Lee_random,R041608_0380_002.txt,Kim2016,63220.2,39272.6,60.98,4.9
Lee_random,R041608_0380_002.txt,Leveling,52765.4,39272.6,34.36,10.922
Lee_random,R041608_0380_002.txt,Durasevic2025,63645.8,39272.6,62.06,5.891
Lee_random,R041608_0380_002.txt,NearestStack,90342.5,39272.6,130.04,3.399
Lee_random,R041608_0380_002.txt,LowestHeight,85674.4,39272.6,118.15,2.442
Lee_random,R041608_0380_003.txt,OriginalModel,42304.2,38556.6,9.72,8.343
Lee_random,R041608_0380_003.txt,ZeroShot,41951.3,38556.6,8.8,8.797
Lee_random,R041608_0380_003.txt,Lin2015,50595.4,38556.6,31.22,10.038
Lee_random,R041608_0380_003.txt,Kim2016,61660.0,38556.6,59.92,4.49
Lee_random,R041608_0380_003.txt,Leveling,49402.2,38556.6,28.13,8.897
Lee_random,R041608_0380_003.txt,Durasevic2025,61988.8,38556.6,60.77,5.38
Lee_random,R041608_0380_003.txt,NearestStack,79492.4,38556.6,106.17,2.886
Lee_random,R041608_0380_003.txt,LowestHeight,80309.1,38556.6,108.29,2.27
Lee_random,R041608_0380_004.txt,OriginalModel,43138.7,39542.9,9.09,10.575
Lee_random,R041608_0380_004.txt,ZeroShot,42857.3,39542.9,8.38,9.604
Lee_random,R041608_0380_004.txt,Lin2015,50834.8,39542.9,28.56,5.496
Lee_random,R041608_0380_004.txt,Kim2016,61941.7,39542.9,56.64,5.547
Lee_random,R041608_0380_004.txt,Leveling,50977.7,39542.9,28.92,10.644
Lee_random,R041608_0380_004.txt,Durasevic2025,62529.4,39542.9,58.13,3.894
Lee_random,R041608_0380_004.txt,NearestStack,82458.3,39542.9,108.53,1.472
Lee_random,R041608_0380_004.txt,LowestHeight,78933.7,39542.9,99.62,1.196
Lee_random,R041608_0380_005.txt,OriginalModel,43336.2,39399.0,9.99,5.387
Lee_random,R041608_0380_005.txt,ZeroShot,42751.4,39399.0,8.51,5.184
Lee_random,R041608_0380_005.txt,Lin2015,52599.8,39399.0,33.51,2.78
Lee_random,R041608_0380_005.txt,Kim2016,60934.6,39399.0,54.66,2.269
Lee_random,R041608_0380_005.txt,Leveling,52006.2,39399.0,32.0,5.018
Lee_random,R041608_0380_005.txt,Durasevic2025,63636.4,39399.0,61.52,3.24
Lee_random,R041608_0380_005.txt,NearestStack,83375.6,39399.0,111.62,1.497
Lee_random,R041608_0380_005.txt,LowestHeight,82416.8,39399.0,109.19,1.182
Lee_random,R061606_0430_001.txt,OriginalModel,49420.9,46704.5,5.82,7.922
Lee_random,R061606_0430_001.txt,ZeroShot,48735.6,46704.5,4.35,10.141
Lee_random,R061606_0430_001.txt,Lin2015,58948.1,46704.5,26.22,5.762
Lee_random,R061606_0430_001.txt,Kim2016,68219.7,46704.5,46.07,5.12
Lee_random,R061606_0430_001.txt,Leveling,55750.0,46704.5,19.37,12.199
Lee_random,R061606_0430_001.txt,Durasevic2025,68980.1,46704.5,47.69,6.473
Lee_random,R061606_0430_001.txt,NearestStack,89506.2,46704.5,91.64,2.406
Lee_random,R061606_0430_001.txt,LowestHeight,86630.8,46704.5,85.49,2.01
Lee_random,R061606_0430_002.txt,OriginalModel,48766.6,45977.8,6.07,7.676
Lee_random,R061606_0430_002.txt,ZeroShot,48537.2,45977.8,5.57,7.715
Lee_random,R061606_0430_002.txt,Lin2015,57292.8,45977.8,24.61,5.436
Lee_random,R061606_0430_002.txt,Kim2016,64913.0,45977.8,41.18,4.716
Lee_random,R061606_0430_002.txt,Leveling,54823.0,45977.8,19.24,10.275
Lee_random,R061606_0430_002.txt,Durasevic2025,67662.1,45977.8,47.16,5.817
Lee_random,R061606_0430_002.txt,NearestStack,81463.9,45977.8,77.18,2.019
Lee_random,R061606_0430_002.txt,LowestHeight,84601.0,45977.8,84.0,1.707
Lee_random,R061606_0430_003.txt,OriginalModel,48547.6,45840.0,5.91,5.387
Lee_random,R061606_0430_003.txt,ZeroShot,47948.0,45840.0,4.6,6.781
Lee_random,R061606_0430_003.txt,Lin2015,58430.4,45840.0,27.47,3.421
Lee_random,R061606_0430_003.txt,Kim2016,67025.2,45840.0,46.22,2.707
Lee_random,R061606_0430_003.txt,Leveling,53865.6,45840.0,17.51,6.037
Lee_random,R061606_0430_003.txt,Durasevic2025,67901.7,45840.0,48.13,4.084
