dataset,instance,method,cost,lb,gap,time_s
Lee_upsidedown,U011608_0090_002.txt,Leveling,8894.4,7027.2,26.57,0.875
Lee_upsidedown,U011608_0090_002.txt,Durasevic2025,8151.6,7027.2,16.0,1.023
Lee_upsidedown,U011608_0090_002.txt,NearestStack,9430.8,7027.2,34.2,1.198
Lee_upsidedown,U011608_0090_002.txt,LowestHeight,9236.4,7027.2,31.44,0.523
Lee_upsidedown,U021606_0140_001.txt,OriginalModel,14110.2,13449.0,4.92,3.312
Lee_upsidedown,U021606_0140_001.txt,ZeroShot,13946.4,13449.0,3.7,2.588
Lee_upsidedown,U021606_0140_001.txt,Lin2015,15216.6,13449.0,13.14,1.282
Lee_upsidedown,U021606_0140_001.txt,Kim2016,19089.9,13449.0,41.94,1.22
Lee_upsidedown,U021606_0140_001.txt,Leveling,15661.8,13449.0,16.45,1.705
Lee_upsidedown,U021606_0140_001.txt,Durasevic2025,24068.7,13449.0,78.96,1.473
Lee_upsidedown,U021606_0140_001.txt,NearestStack,21838.8,13449.0,62.38,0.754
Lee_upsidedown,U021606_0140_001.txt,LowestHeight,20737.5,13449.0,54.19,0.637
Lee_upsidedown,U021606_0140_002.txt,OriginalModel,14238.3,13620.3,4.54,2.513
Lee_upsidedown,U021606_0140_002.txt,ZeroShot,14062.5,13620.3,3.25,2.562
Lee_upsidedown,U021606_0140_002.txt,Lin2015,16091.7,13620.3,18.15,1.317
Lee_upsidedown,U021606_0140_002.txt,Kim2016,19424.7,13620.3,42.62,1.216
Lee_upsidedown,U021606_0140_002.txt,Leveling,15608.7,13620.3,14.6,1.665
Lee_upsidedown,U021606_0140_002.txt,Durasevic2025,23630.4,13620.3,73.49,1.502
Lee_upsidedown,U021606_0140_002.txt,NearestStack,22351.2,13620.3,64.1,0.801
Lee_upsidedown,U021606_0140_002.txt,LowestHeight,21143.1,13620.3,55.23,0.768
Lee_upsidedown,U021608_0190_001.txt,OriginalModel,19866.3,18648.3,6.53,4.164
Lee_upsidedown,U021608_0190_001.txt,ZeroShot,19652.1,18648.3,5.38,3.92
Lee_upsidedown,U021608_0190_001.txt,Lin2015,22742.7,18648.3,21.96,1.941
Lee_upsidedown,U021608_0190_001.txt,Kim2016,29133.3,18648.3,56.22,1.761
Lee_upsidedown,U021608_0190_001.txt,Leveling,23179.5,18648.3,24.3,2.821
Lee_upsidedown,U021608_0190_001.txt,Durasevic2025,31539.9,18648.3,69.13,2.145
Lee_upsidedown,U021608_0190_001.txt,NearestStack,33471.6,18648.3,79.49,1.272
Lee_upsidedown,U021608_0190_001.txt,LowestHeight,32228.1,18648.3,72.82,0.902
Lee_upsidedown,U021608_0190_002.txt,OriginalModel,19757.1,18241.5,8.31,3.988
Lee_upsidedown,U021608_0190_002.txt,ZeroShot,19579.2,18241.5,7.33,4.044
